"11br -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and gender, whole population and persons aged 15-64, 1971-2020"

"Gender","Underlying cause of death (time series classification)","Year","Deaths, whole population"
"Males","27 Ischaemic heart diseases (I20-I25)","1983",7778
"Males","27 Ischaemic heart diseases (I20-I25)","1984",7817
"Males","27 Ischaemic heart diseases (I20-I25)","1985",8268
"Males","27 Ischaemic heart diseases (I20-I25)","1986",7707
"Males","27 Ischaemic heart diseases (I20-I25)","1987",7738
"Males","27 Ischaemic heart diseases (I20-I25)","1988",7631
"Males","27 Ischaemic heart diseases (I20-I25)","1989",7537
"Males","27 Ischaemic heart diseases (I20-I25)","1990",7526
"Males","27 Ischaemic heart diseases (I20-I25)","1991",7260
"Males","27 Ischaemic heart diseases (I20-I25)","1992",7569
"Males","27 Ischaemic heart diseases (I20-I25)","1993",7261
"Males","27 Ischaemic heart diseases (I20-I25)","1994",6811
"Males","27 Ischaemic heart diseases (I20-I25)","1995",7012
"Males","27 Ischaemic heart diseases (I20-I25)","1996",6735
"Males","27 Ischaemic heart diseases (I20-I25)","1997",6498
"Males","27 Ischaemic heart diseases (I20-I25)","1998",6556
"Males","27 Ischaemic heart diseases (I20-I25)","1999",6625
"Males","27 Ischaemic heart diseases (I20-I25)","2000",6512
"Males","27 Ischaemic heart diseases (I20-I25)","2001",6198
"Males","27 Ischaemic heart diseases (I20-I25)","2002",6272
"Males","27 Ischaemic heart diseases (I20-I25)","2003",6112
"Males","27 Ischaemic heart diseases (I20-I25)","2004",5993
"Males","27 Ischaemic heart diseases (I20-I25)","2005",5916
"Males","27 Ischaemic heart diseases (I20-I25)","2006",6064
"Males","27 Ischaemic heart diseases (I20-I25)","2007",6058
"Males","27 Ischaemic heart diseases (I20-I25)","2008",5913
"Males","27 Ischaemic heart diseases (I20-I25)","2009",6024
"Males","27 Ischaemic heart diseases (I20-I25)","2010",6168
"Males","27 Ischaemic heart diseases (I20-I25)","2011",5948
"Males","27 Ischaemic heart diseases (I20-I25)","2012",5832
"Males","27 Ischaemic heart diseases (I20-I25)","2013",5558
"Males","27 Ischaemic heart diseases (I20-I25)","2014",5532
"Males","27 Ischaemic heart diseases (I20-I25)","2015",5549
"Males","27 Ischaemic heart diseases (I20-I25)","2016",5690
"Males","27 Ischaemic heart diseases (I20-I25)","2017",5486
"Males","27 Ischaemic heart diseases (I20-I25)","2018",5401
"Males","27 Ischaemic heart diseases (I20-I25)","2019",4944
"Males","27 Ischaemic heart diseases (I20-I25)","2020",5060
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1971",1442
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1972",1316
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1973",1311
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1974",1301
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1975",1235
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1976",1208
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1977",1156
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1978",1033
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1979",1048
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1980",1043
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1981",1071
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1982",1055
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1983",1024
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1984",983
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1985",1051
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1986",1080
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1987",840
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1988",930
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1989",869
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1990",886
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1991",966
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1992",899
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1993",797
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1994",695
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1995",743
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1996",704
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1997",773
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1998",786
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1999",718
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2000",720
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2001",738
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2002",697
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2003",745
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2004",739
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2005",723
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2006",829
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2007",878
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2008",909
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2009",925
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2010",946
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2011",1012
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2012",972
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2013",916
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2014",905
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2015",886
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2016",937
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2017",923
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2018",889
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2019",912
"Males","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2020",902
"Males","29 Cerebrovascular diseases (I60-I69)","1971",2363
"Males","29 Cerebrovascular diseases (I60-I69)","1972",2286
"Males","29 Cerebrovascular diseases (I60-I69)","1973",2285
"Males","29 Cerebrovascular diseases (I60-I69)","1974",2201
"Males","29 Cerebrovascular diseases (I60-I69)","1975",2098
"Males","29 Cerebrovascular diseases (I60-I69)","1976",2176
"Males","29 Cerebrovascular diseases (I60-I69)","1977",2175
"Males","29 Cerebrovascular diseases (I60-I69)","1978",2237
"Males","29 Cerebrovascular diseases (I60-I69)","1979",2122
"Males","29 Cerebrovascular diseases (I60-I69)","1980",2024
"Males","29 Cerebrovascular diseases (I60-I69)","1981",2133
"Males","29 Cerebrovascular diseases (I60-I69)","1982",2112
"Males","29 Cerebrovascular diseases (I60-I69)","1983",2098
"Males","29 Cerebrovascular diseases (I60-I69)","1984",2131
"Males","29 Cerebrovascular diseases (I60-I69)","1985",2271
"Males","29 Cerebrovascular diseases (I60-I69)","1986",2257
"Males","29 Cerebrovascular diseases (I60-I69)","1987",2130
"Males","29 Cerebrovascular diseases (I60-I69)","1988",2058
"Males","29 Cerebrovascular diseases (I60-I69)","1989",1955
"Males","29 Cerebrovascular diseases (I60-I69)","1990",2117
"Males","29 Cerebrovascular diseases (I60-I69)","1991",2148
"Males","29 Cerebrovascular diseases (I60-I69)","1992",2040
"Males","29 Cerebrovascular diseases (I60-I69)","1993",2082
"Males","29 Cerebrovascular diseases (I60-I69)","1994",1983
"Males","29 Cerebrovascular diseases (I60-I69)","1995",2085
"Males","29 Cerebrovascular diseases (I60-I69)","1996",1959
"Males","29 Cerebrovascular diseases (I60-I69)","1997",1990
"Males","29 Cerebrovascular diseases (I60-I69)","1998",2023
"Males","29 Cerebrovascular diseases (I60-I69)","1999",1977
"Males","29 Cerebrovascular diseases (I60-I69)","2000",1858
"Males","29 Cerebrovascular diseases (I60-I69)","2001",1887
"Males","29 Cerebrovascular diseases (I60-I69)","2002",1787
"Males","29 Cerebrovascular diseases (I60-I69)","2003",1900
"Males","29 Cerebrovascular diseases (I60-I69)","2004",1801
"Males","29 Cerebrovascular diseases (I60-I69)","2005",1792
"Males","29 Cerebrovascular diseases (I60-I69)","2006",1785
"Males","29 Cerebrovascular diseases (I60-I69)","2007",1789
"Males","29 Cerebrovascular diseases (I60-I69)","2008",1707
"Males","29 Cerebrovascular diseases (I60-I69)","2009",1756
"Males","29 Cerebrovascular diseases (I60-I69)","2010",1702
"Males","29 Cerebrovascular diseases (I60-I69)","2011",1799
"Males","29 Cerebrovascular diseases (I60-I69)","2012",1806
"Males","29 Cerebrovascular diseases (I60-I69)","2013",1843
"Males","29 Cerebrovascular diseases (I60-I69)","2014",1786
"Males","29 Cerebrovascular diseases (I60-I69)","2015",1800
"Males","29 Cerebrovascular diseases (I60-I69)","2016",1811
"Males","29 Cerebrovascular diseases (I60-I69)","2017",1728
"Males","29 Cerebrovascular diseases (I60-I69)","2018",1783
"Males","29 Cerebrovascular diseases (I60-I69)","2019",1788
"Males","29 Cerebrovascular diseases (I60-I69)","2020",1828
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1971",976
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1972",970
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1973",979
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1974",1068
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1975",1005
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1976",1022
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1977",1035
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1978",1015
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1979",992
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1980",936
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1981",971
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1982",921
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1983",920
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1984",901
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1985",959
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1986",867
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1987",940
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1988",887
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1989",826
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1990",865
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1991",850
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1992",800
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1993",812
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1994",727
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1995",769
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1996",801
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1997",778
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1998",781
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1999",773
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2000",747
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2001",712
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2002",829
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2003",831
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2004",819
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2005",817
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2006",798
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2007",925
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2008",966
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2009",1039
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2010",1084
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2011",1032
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2012",1081
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2013",1161
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2014",1198
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2015",1236
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2016",1320
